key,en,ja
MENU_PLAY,Play,スタート
MENU_QUIT,Quit,やめる
MENU_OPTIONS,Options,設定
MENU_FS,Fullscreen,フルスクリーン
OPTIONS_MUSIC,Music,音楽
OPTIONS_SFX,Effects,効果音
OPTIONS_LANGUAGE,Language,言語
OPTIONS_CONTROLS,Controls,操作バインド
OPTIONS_FORWARD,Up,上移動
OPTIONS_BACK,Down,下移動
OPTIONS_RIGHT,Right,右移動
OPTIONS_LEFT,Left,左移動
OPTIONS_JUMP,Jump,ジャンプ
OPTIONS_INTERACT,Interact,操る
OPTIONS_PICKDROP,Pick/Drop,取る・放す
OPTIONS_KEYBOARD,Keyboard,キーボード
OPTIONS_CONTROLLER,Controller,コントローラ
OPTIONS_CONFIRM,Save,保存
OPTIONS_CANCEL,Cancel,キャンセル
OPTIONS_RETURN,Back,トップへ
OPTIONS_APPLY,Apply,適用
OPTIONS_REJECT,Reject,破棄
OPTIONS_REASSIGN,Rebinding  ,変更ボタン　
OPTIONS_KEYBIND_WAIT,Waiting for\ninput...,入力を待つ・・・
OPTIONS_KEYBIND_CANCEL,Press Start/Esc\nto cancel,スタートまたはEscを押すと\nキャンセルする
LEVEL_SELECT,Level Select,レベル\nセレクト
LEVEL_JOIN,Press Start to Join,スタートを押すと参加する
LEVEL_1,Level 1,ステージ１
LEVEL_2,Level 2,ステージ２
LEVEL_3,Level 3,ステージ３
LEVEL_4,Level 4,ステージ４
LEVEL_PLAYERS,Participants,サークルメン
LEVEL_KB_USERS,Keyboard P1: Esc | Keyboard P2: Del,キーボードＰ１： Esc｜キーボードＰ２： Del
PAUSE_CLOSE,Resume,つづける
PAUSE_RETURN,Quit,トップへ
